31.2131 	EXP 	text: height = 0.05
31.2131 	EXP 	text: height = 0.05
31.2131 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
31.2131 	EXP 	fixation: autoDraw = True
32.2137 	EXP 	fixation: autoDraw = False
32.2137 	EXP 	text: autoDraw = True
38.4703 	EXP 	New trial (rep=1, index=0): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
38.4870 	EXP 	fixation: autoDraw = False
38.4870 	EXP 	text: autoDraw = False
38.4870 	EXP 	text: height = 0.05
38.4870 	EXP 	text: height = 0.05
38.4870 	EXP 	text: height = 0.05
38.4870 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
38.4870 	EXP 	fixation: autoDraw = True
39.4803 	EXP 	text: autoDraw = True
39.4967 	EXP 	fixation: autoDraw = False
43.5172 	EXP 	New trial (rep=1, index=1): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
43.5298 	EXP 	fixation: autoDraw = False
43.5298 	EXP 	text: autoDraw = False
43.5298 	EXP 	text: height = 0.05
43.5298 	EXP 	text: height = 0.05
43.5298 	EXP 	text: height = 0.05
43.5298 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
43.5298 	EXP 	fixation: autoDraw = True
44.5302 	EXP 	fixation: autoDraw = False
44.5302 	EXP 	text: autoDraw = True
46.6178 	EXP 	New trial (rep=1, index=2): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
46.6326 	EXP 	fixation: autoDraw = False
46.6326 	EXP 	text: autoDraw = False
46.6326 	EXP 	text: height = 0.05
46.6326 	EXP 	text: height = 0.05
46.6326 	EXP 	text: height = 0.05
46.6326 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
46.6326 	EXP 	fixation: autoDraw = True
47.6302 	EXP 	text: autoDraw = True
47.6470 	EXP 	fixation: autoDraw = False
50.2170 	EXP 	New trial (rep=1, index=3): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
50.2329 	EXP 	fixation: autoDraw = False
50.2329 	EXP 	text: autoDraw = False
50.2329 	EXP 	text: height = 0.05
50.2329 	EXP 	text: height = 0.05
50.2329 	EXP 	text: height = 0.05
50.2329 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
50.2329 	EXP 	fixation: autoDraw = True
51.2301 	EXP 	text: autoDraw = True
51.2467 	EXP 	fixation: autoDraw = False
53.5032 	EXP 	New trial (rep=1, index=4): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
53.5255 	EXP 	fixation: autoDraw = False
53.5255 	EXP 	text: autoDraw = False
53.5255 	EXP 	text: height = 0.05
53.5255 	EXP 	text: height = 0.05
53.5255 	EXP 	text: height = 0.05
53.5255 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
53.5255 	EXP 	fixation: autoDraw = True
54.5134 	EXP 	text: autoDraw = True
54.5300 	EXP 	fixation: autoDraw = False
61.0342 	EXP 	New trial (rep=1, index=5): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
61.0462 	EXP 	fixation: autoDraw = False
61.0462 	EXP 	text: autoDraw = False
61.0462 	EXP 	text: height = 0.05
61.0462 	EXP 	text: height = 0.05
61.0462 	EXP 	text: height = 0.05
61.0462 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
61.0462 	EXP 	fixation: autoDraw = True
62.0468 	EXP 	fixation: autoDraw = False
62.0468 	EXP 	text: autoDraw = True
69.5494 	EXP 	New trial (rep=1, index=6): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
69.5629 	EXP 	fixation: autoDraw = False
69.5629 	EXP 	text: autoDraw = False
69.5629 	EXP 	text: height = 0.05
69.5629 	EXP 	text: height = 0.05
69.5629 	EXP 	text: height = 0.05
69.5629 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
69.5629 	EXP 	fixation: autoDraw = True
70.5634 	EXP 	fixation: autoDraw = False
70.5634 	EXP 	text: autoDraw = True
77.3320 	EXP 	New trial (rep=2, index=0): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
77.3460 	EXP 	fixation: autoDraw = False
77.3460 	EXP 	text: autoDraw = False
77.3460 	EXP 	text: height = 0.05
77.3460 	EXP 	text: height = 0.05
77.3460 	EXP 	text: height = 0.05
77.3460 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
77.3460 	EXP 	fixation: autoDraw = True
78.3463 	EXP 	fixation: autoDraw = False
78.3463 	EXP 	text: autoDraw = True
82.0492 	EXP 	New trial (rep=2, index=1): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
82.0627 	EXP 	fixation: autoDraw = False
