trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
175,0,175,0,10,374.14244670000335,374.14244670000335,0.06739399999787565,[0.4583333333333333],[0.22592592592592592],[1],[0],[0],[2.1095728000000236],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
176,0,176,0,10,376.29407899999933,376.29407899999933,0.04955419999896549,[-0.27870370370370373],[0.4148148148148148],[1],[0],[0],[1.3953985999978613],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
177,0,177,0,10,377.76514060000045,377.76514060000045,0.07444280000345316,[-0.1527777777777778],[0.032407407407407406],[1],[0],[0],[1.4047233000019332],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
178,0,178,0,10,379.2201347000009,379.2201347000009,0.04499319999740692,[0.4425925925925926],[-0.26944444444444443],[1],[0],[0],[1.634451199999603],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
179,0,179,0,5,380.8753804000007,380.8753804000007,0.023652000003494322,[-0.42962962962962964],[0.24814814814814815],[1],[0],[0],[2.5555497000023024],[],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
180,0,180,0,10,383.49080400000094,383.49080400000094,0.048242700002447236,[0.31851851851851853],[0.35833333333333334],[1],[0],[0],[1.4212628999957815],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
181,0,181,0,10,384.98301610000635,384.98301610000635,0.04465429999982007,[-0.010185185185185186],[-0.2796296296296296],[1],[0],[0],[1.8766113999954541],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
182,0,182,0,5,386.8578185000006,386.8578185000006,0.02290579999680631,[-0.37592592592592594],[0.07222222222222222],[1],[0],[0],[1.4232478999983869],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
183,0,183,0,5,388.31420849999995,388.31420849999995,0.026259199999913108,[0.075],[0.023148148148148147],[1],[0],[0],[4.483227299999271],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
184,0,184,0,10,392.8608100000056,392.8608100000056,0.04910889999882784,[-0.27685185185185185],[0.1814814814814815],[1],[0],[0],[2.7437682000017958],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
185,0,185,0,10,395.6548421000043,395.6548421000043,0.046653899997181725,[-0.2777777777777778],[0.16574074074074074],[1],[0],[0],[0.7152950000017881],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
186,0,186,0,5,396.38987890000135,396.38987890000135,0.02216970000154106,[-0.2037037037037037],[0.42407407407407405],[1],[0],[0],[1.157264599998598],[],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
187,0,187,0,10,397.60378460000356,397.60378460000356,0.04436349999741651,[0.44351851851851853],[-0.15833333333333333],[1],[0],[0],[1.4328677000012249],[],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
188,0,188,0,5,399.06008740000107,399.06008740000107,0.025427600005059503,[0.03518518518518519],[-0.41388888888888886],[1],[0],[0],[1.0413890999989235],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
189,0,189,0,5,400.14251860000513,400.14251860000513,0.0324726999970153,[-0.4777777777777778],[0.48333333333333334],[1],[0],[0],[1.0409247999996296],[],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
190,0,190,0,5,401.2079919000025,401.2079919000025,0.022127700001874473,[-0.012037037037037037],[-0.22962962962962963],[1],[0],[0],[1.1064291999937268],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
191,0,191,0,5,402.34487680000166,402.34487680000166,0.025045200003660284,[0.4648148148148148],[-0.4083333333333333],[1],[0],[0],[1.8020495000018855],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
192,0,192,0,10,404.20232730000134,404.20232730000134,0.04397489999973914,[0.030555555555555555],[0.049074074074074076],[1],[0],[0],[1.1517067000022507],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
193,0,193,0,10,405.40186460000405,405.40186460000405,0.04375609999988228,[0.17777777777777778],[0.28703703703703703],[1],[0],[0],[0.985363599997072],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
194,0,194,0,10,406.44807550000405,406.44807550000405,0.056465199995727744,[-0.25462962962962965],[-0.4462962962962963],[1],[0],[0],[2.105800700002874],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
195,0,195,0,10,408.60033020000265,408.60033020000265,0.04284509999706643,[-0.08611111111111111],[-0.26666666666666666],[1],[0],[0],[0.940735099997255],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
196,0,196,0,10,409.5914021999997,409.5914021999997,0.0439736999978777,[-0.30833333333333335],[-0.23425925925925925],[1],[0],[0],[1.393022900003416],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
197,0,197,0,10,411.05278700000054,411.05278700000054,0.05600109999795677,[-0.35462962962962963],[0.08796296296296297],[1],[0],[0],[0.8819349999976112],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
198,0,198,0,10,411.9829821000021,411.9829821000021,0.05115550000482472,[0.3453703703703704],[0.2111111111111111],[1],[0],[0],[1.4042229000042425],[],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
199,0,199,0,5,413.4118140999999,413.4118140999999,0.026903700003458653,[0.3768518518518518],[0.38796296296296295],[1],[0],[0],[1.0689701000010245],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
