staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
27,0.5,3.0,111.87294630007818,112.35633610002697,112.35633610002697,112.35633610002697,112.6565204000799,left,-3.0,1,1,0.8070474000414833,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
28,0.5,2.5,113.1893654000014,113.67305380001199,113.67305380001199,113.67305380001199,113.97278030007146,left,-2.5,1,1,0.46724279993213713,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
29,0.5,2.5,114.17295540007763,114.65639220003504,114.65639220003504,114.65639220003504,114.95609280001372,right,2.5,1,1,0.6021546000847593,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
30,0.5,2.5,115.28947850002442,115.77294110006187,115.77294110006187,115.77294110006187,116.07315990002826,right,2.5,0,0,0.48741389997303486,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
31,0.5,3.0,116.28957899997476,116.77311120007653,116.77311120007653,116.77311120007653,117.07293150003534,left,-3.0,0,0,0.3753685000119731,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
32,0.5,3.5,117.17281310004182,117.65648990008049,117.65648990008049,117.65648990008049,117.95617170003243,left,-3.5,0,0,0.8568615999538451,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
33,0.5,4.0,118.5395669999998,119.02314970002044,119.02314970002044,119.02314970002044,119.32283409999218,right,4.0,1,1,0.7196009999606758,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
34,0.5,4.0,119.77281290001702,120.256400900078,120.256400900078,120.256400900078,120.55621720000636,right,4.0,1,1,0.9083946999162436,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
35,0.5,4.0,121.18942130007781,121.67281750007533,121.67281750007533,121.67281750007533,121.97289269999601,right,4.0,1,1,0.48135589994490147,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
36,0.5,3.5,122.17259800003376,122.67295729997568,122.67295729997568,122.67295729997568,122.97264569997787,left,-3.5,0,0,0.39419629995245486,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
37,0.5,4.0,123.08948630001396,123.57288110000081,123.57288110000081,123.57288110000081,123.87302739999723,left,-4.0,1,1,0.7134845000691712,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
38,0.5,4.0,124.30611640005372,124.78980250004679,124.78980250004679,124.78980250004679,125.08963140007108,right,4.0,1,1,0.7766259000636637,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
39,0.5,4.0,125.58981130004395,126.07304649997968,126.07304649997968,126.07304649997968,126.3730166000314,right,4.0,1,1,0.6761914999224246,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
40,0.5,3.5,126.77292480005417,127.25620609999169,127.25620609999169,127.25620609999169,127.55638039996848,left,-3.5,1,1,0.49669709999579936,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
41,0.5,3.5,127.77270600001793,128.25618680007756,128.25618680007756,128.25618680007756,128.55615920003038,left,-3.5,1,1,0.6224146999884397,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
42,0.5,3.5,128.90640350000467,129.40631240000948,129.40631240000948,129.40631240000948,129.70615850004833,right,3.5,1,1,0.8090919000096619,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
43,0.5,3.0,130.23934580001514,130.7396054000128,130.7396054000128,130.7396054000128,131.03964610002004,left,-3.0,1,1,1.2879185000201687,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
44,0.5,3.0,132.05734629998915,132.55618670000695,132.55618670000695,132.55618670000695,132.85607720003463,left,-3.0,1,1,0.5613469000672922,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
45,0.5,3.0,133.1395795000717,133.62289130000863,133.62289130000863,133.62289130000863,133.92273670004215,right,3.0,1,1,0.7848066999576986,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
46,0.5,2.5,134.43942760000937,134.92280339996796,134.92280339996796,134.92280339996796,135.22330920002423,right,2.5,1,1,0.6090918999398127,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
47,0.5,2.5,135.5559739000164,136.0397017999785,136.0397017999785,136.0397017999785,136.33945520000998,left,-2.5,1,1,0.6518383000511676,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
48,0.5,2.5,136.72269239998423,137.20619320007972,137.20619320007972,137.20619320007972,137.50634740001988,right,2.5,0,0,0.6411922998959199,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
49,0.5,3.0,137.8727963999845,138.35615060001146,138.35615060001146,138.35615060001146,138.6560076000169,right,3.0,0,0,0.556287799961865,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
