staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,75.36347079998814,76.23908269999083,76.23908269999083,76.23908269999083,76.53985760000069,left,-10.0,1,1,1.2447326999390498,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
1,2,8.0,77.50580510008149,77.99002090003341,77.99002090003341,77.99002090003341,78.28984580002725,right,8.0,1,1,1.0305546000599861,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
2,2,6.0,79.03984850004781,79.5236498999875,79.5236498999875,79.5236498999875,79.8232466999907,left,-6.0,1,1,0.8575676999753341,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
3,2,4.0,80.40636770008132,80.88993800000753,80.88993800000753,80.88993800000753,81.18976119998842,right,4.0,1,1,0.6331252000527456,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
4,2,2.0,81.53994320007041,82.0231969000306,82.0231969000306,82.0231969000306,82.32308550004382,left,-2.0,1,1,1.5370943000307307,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
5,1,1.0,83.58977060008328,84.07324180006981,84.07324180006981,84.07324180006981,84.37315960007254,right,1.0,0,0,0.8801122999284416,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
6,1,2.0,84.97303130000364,85.48995960003231,85.48995960003231,85.48995960003231,85.78987510001753,right,2.0,0,0,1.0304222999839112,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
7,1,3.0,86.53984560002573,87.02326220006216,87.02326220006216,87.02326220006216,87.32306159997825,right,3.0,0,0,0.7020445000380278,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
8,1,4.0,87.75697260000743,88.25670949998312,88.25670949998312,88.25670949998312,88.55673670000397,left,-4.0,1,1,0.874928200035356,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
9,1,4.0,89.1572003000183,89.65653979999479,89.65653979999479,89.65653979999479,89.95643000002019,right,4.0,1,1,0.835406000027433,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
10,1,4.0,90.52338520006742,91.0065225000726,91.0065225000726,91.0065225000726,91.3064536000602,left,-4.0,1,1,1.192457899916917,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
11,1,3.0,92.22283800004516,92.70654839999042,92.70654839999042,92.70654839999042,93.00652569998056,right,3.0,1,1,0.5900667998939753,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
12,1,3.0,93.32297360000666,93.80707720003556,93.80707720003556,93.80707720003556,94.10640519997105,left,-3.0,1,1,0.7278675000416115,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
13,0.5,3.0,94.55656729999464,95.0568052000599,95.0568052000599,95.0568052000599,95.35645530000329,left,-3.0,0,0,0.38176509994082153,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
14,0.5,3.5,95.45648100005928,95.95652890007477,95.95652890007477,95.95652890007477,96.25638679997064,left,-3.5,1,1,0.7015153999673203,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
15,0.5,3.5,96.68980180006474,97.17324729997199,97.17324729997199,97.17324729997199,97.47321179998107,left,-3.5,1,1,0.6561856999760494,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
16,0.5,3.5,97.85634070006199,98.33985140000004,98.33985140000004,98.33985140000004,98.63954350003041,left,-3.5,1,1,0.694102399982512,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
17,0.5,3.0,99.05633160006255,99.53967039997224,99.53967039997224,99.53967039997224,99.83945059997495,left,-3.0,1,1,0.6314461999572814,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
18,0.5,3.0,100.18947820004541,100.67317389999516,100.67317389999516,100.67317389999516,100.97308080003131,right,3.0,1,1,1.8258544000564143,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
19,0.5,3.0,102.52311830001418,103.00657550001051,103.00657550001051,103.00657550001051,103.30643740005326,left,-3.0,1,1,0.723888500011526,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
20,0.5,2.5,103.75658340007067,104.2400393000571,104.2400393000571,104.2400393000571,104.53983829997014,left,-2.5,0,0,1.098793899989687,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
21,0.5,3.0,105.3564126000274,105.85659910005052,105.85659910005052,105.85659910005052,106.15655140008312,left,-3.0,0,0,0.6937688000034541,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
22,0.5,3.5,106.57324360008352,107.07348080002703,107.07348080002703,107.07348080002703,107.37302330008242,right,3.5,1,1,0.6078349000308663,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
23,0.5,3.5,107.70643150003161,108.18973079998977,108.18973079998977,108.18973079998977,108.48953829996753,right,3.5,1,1,0.7117372999200597,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
24,0.5,3.5,108.92290180001874,109.40650849998929,109.40650849998929,109.40650849998929,109.70613120007329,right,3.5,1,1,0.5328532999847084,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
25,0.5,3.0,109.95633690000977,110.4564692999702,110.4564692999702,110.4564692999702,110.75610320002306,right,3.0,1,1,0.4987835999345407,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
26,0.5,3.0,110.97290210006759,111.47295650001615,111.47295650001615,111.47295650001615,111.77297699998599,right,3.0,1,1,0.37848790001589805,322702,001,2023-09-01_18h40.50.519,staircase exp lab report,2023.1.3,60.22714062891099,
