image,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,trial.stopped,all_pictures.started,blackroad.started,blackroad.stopped,yellowillusion.started,yellowillusion.stopped,redillusion.started,redillusion.stopped,wall.started,wall.stopped,image.started,image.stopped,all_pictures.stopped,instructions2.started,instructions.started,instructions.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,instructions2.stopped,Routine_1.started,yellowillusionimage.started,key_resp.started,yellowillusionimage.stopped,blackroadimage.started,blackroadimage.stopped,key_resp.stopped,Routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,pastelimage.started,kr.started,pastelimage.stopped,redillusionimage.started,redillusionimage.stopped,kr.stopped,routine_2.stopped,kr.keys,kr.corr,kr.rt,kr.duration,routine_3.started,whiteimage.started,kr_2.started,whiteimage.stopped,yellowwhiteimage.started,yellowwhiteimage.stopped,kr_2.stopped,routine_3.stopped,kr_2.keys,kr_2.corr,kr_2.rt,kr_2.duration,routine_4.started,colourfulimage.started,kr_3.started,colourfulimage.stopped,wallimage.started,wallimage.stopped,kr_3.stopped,routine_4.stopped,kr_3.keys,kr_3.corr,kr_3.rt,kr_3.duration,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
yellowillusionimage ,n,0,0,0,0,,,,,,,,,,,,,55.0183392,,0.0036625,0.009248,6.0093345,6.0093345,10.0092034,10.0092034,15.0517567,14.9938738,14.9939098,15.0517567,18.0115363,18.0115363,21.0098449,21.0098449,24.0097385,24.0097385,27.009842,27.009842,30.0091196,29.9942207,29.9942572,30.0091196,33.0093626,33.0093626,39.0092395,39.0092395,45.0093419,45.0093419,55.0183392,54.9946154,55.0131622,55.0183392,55.0183392,58.009404,58.009404,61.0094918,61.0094918,60.9938678,r,0,4.8600782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857294,1,2023-11-28_22h11.22.484,untitledFINAL,2023.2.3,59.86353509,2023-11-28 22h11.29.370181 +0530
blackroadimage,r,0,1,1,1,,,,,,,,,,,,,61.0094918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.99604,61.0094918,61.0094918,64.0093616,64.0093616,67.0157853,67.0157853,66.9937816,r,1,3.8211093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857294,1,2023-11-28_22h11.22.484,untitledFINAL,2023.2.3,59.86353509,2023-11-28 22h11.29.370181 +0530
pastelimage,n,,,,,0,0,0,0,,,,,,,,,67.0157853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0089827,67.0157853,67.0157853,70.0097734,70.0097734,73.009105,73.009105,72.993756,r,0,4.3040309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857294,1,2023-11-28_22h11.22.484,untitledFINAL,2023.2.3,59.86353509,2023-11-28 22h11.29.370181 +0530
redillusionimage,r,,,,,0,1,1,1,,,,,,,,,73.009105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9957277,73.009105,73.009105,76.0092603,76.0092603,79.0159943,79.0159943,78.9935842,r,1,5.2514036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857294,1,2023-11-28_22h11.22.484,untitledFINAL,2023.2.3,59.86353509,2023-11-28 22h11.29.370181 +0530
whiteimage,n,,,,,,,,,0,0,0,0,,,,,79.0159943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0093605,79.0159943,79.0159943,82.0090204,82.0090204,85.009058,85.009058,84.9936733,n,1,4.7999792,None,,,,,,,,,,,,,,,,,857294,1,2023-11-28_22h11.22.484,untitledFINAL,2023.2.3,59.86353509,2023-11-28 22h11.29.370181 +0530
yellowwhiteimage,n,,,,,,,,,0,1,1,1,,,,,85.009058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9955701,85.009058,85.009058,88.0088734,88.0088734,91.0176597,91.0176597,90.9941834,n,1,1.5131511,None,,,,,,,,,,,,,,,,,857294,1,2023-11-28_22h11.22.484,untitledFINAL,2023.2.3,59.86353509,2023-11-28 22h11.29.370181 +0530
wallimage,n,,,,,,,,,,,,,0,0,0,1,91.0176597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0117274,91.0176597,91.0176597,94.0090711,94.0090711,97.0089949,97.0089949,96.9935045,r,0,5.3670527,None,,,,,857294,1,2023-11-28_22h11.22.484,untitledFINAL,2023.2.3,59.86353509,2023-11-28 22h11.29.370181 +0530
colourfulimage,r,,,,,,,,,,,,,0,1,1,0,97.0089949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9954714,97.0089949,97.0089949,100.0087554,100.0087554,103.0083048,103.0083048,102.993293,r,1,5.1586905,None,,,,,857294,1,2023-11-28_22h11.22.484,untitledFINAL,2023.2.3,59.86353509,2023-11-28 22h11.29.370181 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9942761,103.0083048,106.0080544,105.9924811,,,,,,,
