image,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,trial.stopped,all_pictures.started,blackroad.started,blackroad.stopped,yellowillusion.started,yellowillusion.stopped,redillusion.started,redillusion.stopped,wall.started,wall.stopped,image.started,image.stopped,all_pictures.stopped,instructions2.started,instructions.started,instructions.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,instructions2.stopped,Routine_1.started,yellowillusionimage.started,key_resp.started,yellowillusionimage.stopped,blackroadimage.started,blackroadimage.stopped,key_resp.stopped,Routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,pastelimage.started,kr.started,pastelimage.stopped,redillusionimage.started,redillusionimage.stopped,kr.stopped,routine_2.stopped,kr.keys,kr.corr,kr.rt,kr.duration,routine_3.started,whiteimage.started,kr_2.started,whiteimage.stopped,yellowwhiteimage.started,yellowwhiteimage.stopped,kr_2.stopped,routine_3.stopped,kr_2.keys,kr_2.corr,kr_2.rt,kr_2.duration,routine_4.started,colourfulimage.started,kr_3.started,colourfulimage.stopped,wallimage.started,wallimage.stopped,kr_3.stopped,routine_4.stopped,kr_3.keys,kr_3.corr,kr_3.rt,kr_3.duration,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
blackroadimage,r,0,0,0,1,,,,,,,,,,,,,55.00610289999895,,0.003524499999912223,0.008948799999416224,6.006467799999882,6.006467799999882,10.006437699999879,10.006437699999879,15.059242600000289,14.991003400000409,14.991046799999822,15.059242600000289,18.011276899998848,18.011276899998848,21.00700379999944,21.00700379999944,24.006920399999217,24.006920399999217,27.007234900000185,27.007234900000185,30.0061953000004,29.991945099998702,29.991997199998877,30.0061953000004,33.0060455999992,33.0060455999992,39.00612329999967,39.00612329999967,45.006672499999695,45.006672499999695,55.00610289999895,54.99029630000041,55.000229399998716,55.00610289999895,55.00610289999895,58.00637590000042,58.00637590000042,61.00590889999876,61.00590889999876,60.989943599999606,r,1,3.707431599999836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291567,001,2023-11-28_21h03.42.892,untitledFINAL,2023.2.3,59.987642545598604,2023-11-28 21h03.50.381421 +0530,
yellowillusionimage ,n,0,1,1,0,,,,,,,,,,,,,61.00590889999876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.99095659999875,61.00590889999876,61.00590889999876,64.00622949999888,64.00622949999888,67.01278060000004,67.01278060000004,66.99069659999986,r,0,3.601972599999499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291567,001,2023-11-28_21h03.42.892,untitledFINAL,2023.2.3,59.987642545598604,2023-11-28 21h03.50.381421 +0530,
redillusionimage,r,,,,,0,0,0,1,,,,,,,,,67.01278060000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.00608509999984,67.01278060000004,67.01278060000004,70.00638199999958,70.00638199999958,73.00611639999988,73.00611639999988,72.99064650000037,r,1,4.1242536999998265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291567,001,2023-11-28_21h03.42.892,untitledFINAL,2023.2.3,59.987642545598604,2023-11-28 21h03.50.381421 +0530,
pastelimage,n,,,,,0,1,1,0,,,,,,,,,73.00611639999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.99252890000025,73.00611639999988,73.00611639999988,76.00604919999932,76.00604919999932,79.01958009999908,79.01958009999908,78.9909166999987,r,0,3.5668714999992517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291567,001,2023-11-28_21h03.42.892,untitledFINAL,2023.2.3,59.987642545598604,2023-11-28 21h03.50.381421 +0530,
whiteimage,n,,,,,,,,,0,0,0,0,,,,,79.01958009999908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.01194249999935,79.01958009999908,79.01958009999908,82.00616679999985,82.00616679999985,85.00621560000036,85.00621560000036,84.99119459999929,n,1,3.9738768999995955,None,,,,,,,,,,,,,,,,,291567,001,2023-11-28_21h03.42.892,untitledFINAL,2023.2.3,59.987642545598604,2023-11-28 21h03.50.381421 +0530,
yellowwhiteimage,n,,,,,,,,,0,1,1,1,,,,,85.00621560000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9937575999993,85.00621560000036,85.00621560000036,88.00610640000014,88.00610640000014,91.01330659999985,91.01330659999985,90.99025099999926,n,1,3.772750400001314,None,,,,,,,,,,,,,,,,,291567,001,2023-11-28_21h03.42.892,untitledFINAL,2023.2.3,59.987642545598604,2023-11-28 21h03.50.381421 +0530,
colourfulimage,r,,,,,,,,,,,,,0,0,0,0,91.01330659999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.00624869999956,91.01330659999985,91.01330659999985,94.00596589999986,94.00596589999986,97.00619499999993,97.00619499999993,96.99115709999933,r,1,3.833596500000567,None,,,,,291567,001,2023-11-28_21h03.42.892,untitledFINAL,2023.2.3,59.987642545598604,2023-11-28 21h03.50.381421 +0530,
wallimage,n,,,,,,,,,,,,,0,1,1,1,97.00619499999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.99378760000036,97.00619499999993,97.00619499999993,100.00599340000008,100.00599340000008,103.0053554999995,103.0053554999995,102.99115439999878,r,0,3.6847035999999207,None,,,,,291567,001,2023-11-28_21h03.42.892,untitledFINAL,2023.2.3,59.987642545598604,2023-11-28 21h03.50.381421 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.99262879999878,103.0053554999995,106.00542469999891,105.99032409999927,,,,,,,,
