image,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,trial.stopped,all_pictures.started,blackroad.started,blackroad.stopped,yellowillusion.started,yellowillusion.stopped,redillusion.started,redillusion.stopped,wall.started,wall.stopped,image.started,image.stopped,all_pictures.stopped,instructions2.started,instructions.started,instructions.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,instructions2.stopped,Routine_1.started,yellowillusionimage.started,key_resp.started,yellowillusionimage.stopped,blackroadimage.started,blackroadimage.stopped,key_resp.stopped,Routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,pastelimage.started,kr.started,pastelimage.stopped,redillusionimage.started,redillusionimage.stopped,kr.stopped,routine_2.stopped,kr.keys,kr.corr,kr.rt,kr.duration,routine_3.started,whiteimage.started,kr_2.started,whiteimage.stopped,yellowwhiteimage.started,yellowwhiteimage.stopped,kr_2.stopped,routine_3.stopped,kr_2.keys,kr_2.corr,kr_2.rt,kr_2.duration,routine_4.started,colourfulimage.started,kr_3.started,colourfulimage.stopped,wallimage.started,wallimage.stopped,kr_3.stopped,routine_4.stopped,kr_3.keys,kr_3.corr,kr_3.rt,kr_3.duration,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
yellowillusionimage ,n,0,0,0,0,,,,,,,,,,,,,58.0104357,,0.0036443,0.0090916,8.0094993,8.0094993,10.0095195,10.0095195,15.0428718,14.9939869,14.9940156,15.0428718,18.0101403,18.0101403,21.0099163,21.0099163,24.0100727,24.0100727,27.0101075,27.0101075,30.0092355,29.9940307,29.9940535,30.0092355,33.0094565,33.0094565,38.0095003,38.0095003,48.0094773,48.0094773,58.0104357,57.993583,58.0052759,58.0104357,58.0104357,61.0094557,61.0094557,64.0095778,64.0095778,63.993823,r,0,4.7297681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33043,1,2023-11-29_13h23.58.101,untitledFINAL,2023.2.3,60.03745136,2023-11-29 13h24.05.486848 +0530
blackroadimage,r,0,1,1,1,,,,,,,,,,,,,64.0095778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9952707,64.0095778,64.0095778,67.0094233,67.0094233,70.0093987,70.0093987,69.9933863,r,1,3.591339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33043,1,2023-11-29_13h23.58.101,untitledFINAL,2023.2.3,60.03745136,2023-11-29 13h24.05.486848 +0530
redillusionimage,r,,,,,0,0,0,1,,,,,,,,,70.0093987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0007561,70.0093987,70.0093987,73.0094339,73.0094339,76.0091966,76.0091966,75.9932854,r,1,4.2777742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33043,1,2023-11-29_13h23.58.101,untitledFINAL,2023.2.3,60.03745136,2023-11-29 13h24.05.486848 +0530
pastelimage,n,,,,,0,1,1,0,,,,,,,,,76.0091966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9943355,76.0091966,76.0091966,79.0091545,79.0091545,82.009306,82.009306,81.9932221,r,0,3.3886594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33043,1,2023-11-29_13h23.58.101,untitledFINAL,2023.2.3,60.03745136,2023-11-29 13h24.05.486848 +0530
whiteimage,n,,,,,,,,,0,0,0,0,,,,,82.009306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.001765,82.009306,82.009306,85.0091395,85.0091395,88.0090752,88.0090752,87.9931256,n,1,4.3091733,None,,,,,,,,,,,,,,,,,33043,1,2023-11-29_13h23.58.101,untitledFINAL,2023.2.3,60.03745136,2023-11-29 13h24.05.486848 +0530
yellowwhiteimage,n,,,,,,,,,0,1,1,1,,,,,88.0090752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.994034,88.0090752,88.0090752,91.0091173,91.0091173,94.0120201,94.0120201,93.9933119,n,1,3.6575611,None,,,,,,,,,,,,,,,,,33043,1,2023-11-29_13h23.58.101,untitledFINAL,2023.2.3,60.03745136,2023-11-29 13h24.05.486848 +0530
wallimage,r,,,,,,,,,,,,,0,0,0,0,94.0120201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0064067,94.0120201,94.0120201,97.0093165,97.0093165,100.0090554,100.0090554,99.9929548,n,0,4.0323095,None,,,,,33043,1,2023-11-29_13h23.58.101,untitledFINAL,2023.2.3,60.03745136,2023-11-29 13h24.05.486848 +0530
colourfulimage,n,,,,,,,,,,,,,0,1,1,1,100.0090554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9940005,100.0090554,100.0090554,103.0089493,103.0089493,106.0085206,106.0085206,105.9929467,n,1,4.03205,None,,,,,33043,1,2023-11-29_13h23.58.101,untitledFINAL,2023.2.3,60.03745136,2023-11-29 13h24.05.486848 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9934546,106.0085206,109.0084144,108.9925579,,,,,,,
