image,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,trial.stopped,all_pictures.started,blackroad.started,blackroad.stopped,yellowillusion.started,yellowillusion.stopped,redillusion.started,redillusion.stopped,wall.started,wall.stopped,image.started,image.stopped,all_pictures.stopped,instructions2.started,instructions.started,instructions.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,instructions2.stopped,Routine_1.started,yellowillusionimage.started,key_resp.started,yellowillusionimage.stopped,blackroadimage.started,blackroadimage.stopped,key_resp.stopped,Routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,pastelimage.started,kr.started,pastelimage.stopped,redillusionimage.started,redillusionimage.stopped,kr.stopped,routine_2.stopped,kr.keys,kr.corr,kr.rt,kr.duration,routine_3.started,whiteimage.started,kr_2.started,whiteimage.stopped,yellowwhiteimage.started,yellowwhiteimage.stopped,kr_2.stopped,routine_3.stopped,kr_2.keys,kr_2.corr,kr_2.rt,kr_2.duration,routine_4.started,colourfulimage.started,kr_3.started,colourfulimage.stopped,wallimage.started,wallimage.stopped,kr_3.stopped,routine_4.stopped,kr_3.keys,kr_3.corr,kr_3.rt,kr_3.duration,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
yellowillusionimage ,n,0,0,0,0,,,,,,,,,,,,,55.0029996,,0.0036833,0.0119508,6.0023098,6.0023098,10.0023701,10.0023701,15.0382611,14.9863236,14.9863424,15.0382611,18.0028033,18.0028033,21.0028246,21.0028246,24.002778,24.002778,27.002748,27.002748,30.0020836,29.9865069,29.9865248,30.0020836,33.0023331,33.0023331,39.0023683,39.0023683,45.0022505,45.0022505,55.0029996,54.9861914,54.9976571,55.0029996,55.0029996,58.0022767,58.0022767,61.0022836,61.0022836,60.9862674,r,0,4.3875332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212170,1,2023-11-29_13h19.24.089,untitledFINAL,2023.2.3,60.00114002,2023-11-29 13h19.33.062944 +0530
blackroadimage,r,0,1,1,1,,,,,,,,,,,,,61.0022836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9881416,61.0022836,61.0022836,64.0021488,64.0021488,67.0023811,67.0023811,66.9862615,r,1,3.4995209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212170,1,2023-11-29_13h19.24.089,untitledFINAL,2023.2.3,60.00114002,2023-11-29 13h19.33.062944 +0530
redillusionimage,r,,,,,0,0,0,1,,,,,,,,,67.0023811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9961212,67.0023811,67.0023811,70.0021846,70.0021846,73.0020879,73.0020879,72.9861536,n,0,3.666533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212170,1,2023-11-29_13h19.24.089,untitledFINAL,2023.2.3,60.00114002,2023-11-29 13h19.33.062944 +0530
pastelimage,n,,,,,0,1,1,0,,,,,,,,,73.0020879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9871043,73.0020879,73.0020879,76.0019946,76.0019946,79.0022144,79.0022144,78.9861236,n,1,4.8616038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212170,1,2023-11-29_13h19.24.089,untitledFINAL,2023.2.3,60.00114002,2023-11-29 13h19.33.062944 +0530
whiteimage,n,,,,,,,,,0,0,0,0,,,,,79.0022144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.994977,79.0022144,79.0022144,82.0020785,82.0020785,85.0021622,85.0021622,84.9863245,r,0,3.7179238,None,,,,,,,,,,,,,,,,,212170,1,2023-11-29_13h19.24.089,untitledFINAL,2023.2.3,60.00114002,2023-11-29 13h19.33.062944 +0530
yellowwhiteimage,n,,,,,,,,,0,1,1,1,,,,,85.0021622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9878114,85.0021622,85.0021622,88.0018148,88.0018148,91.0020958,91.0020958,90.9859851,r,0,3.205587,None,,,,,,,,,,,,,,,,,212170,1,2023-11-29_13h19.24.089,untitledFINAL,2023.2.3,60.00114002,2023-11-29 13h19.33.062944 +0530
wallimage,r,,,,,,,,,,,,,0,0,0,0,91.0020958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9947302,91.0020958,91.0020958,94.0019551,94.0019551,97.0017745,97.0017745,96.986005,n,0,4.0027772,None,,,,,212170,1,2023-11-29_13h19.24.089,untitledFINAL,2023.2.3,60.00114002,2023-11-29 13h19.33.062944 +0530
colourfulimage,n,,,,,,,,,,,,,0,1,1,1,97.0017745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9872493,97.0017745,97.0017745,100.0016869,100.0016869,103.0012047,103.0012047,102.9858576,n,1,3.4474576,None,,,,,212170,1,2023-11-29_13h19.24.089,untitledFINAL,2023.2.3,60.00114002,2023-11-29 13h19.33.062944 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9864416,103.0012047,106.0012068,105.9854658,,,,,,,
