image,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,trial.stopped,all_pictures.started,blackroad.started,blackroad.stopped,yellowillusion.started,yellowillusion.stopped,redillusion.started,redillusion.stopped,wall.started,wall.stopped,image.started,image.stopped,all_pictures.stopped,instructions2.started,instructions.started,instructions.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,instructions2.stopped,Routine_1.started,yellowillusionimage.started,key_resp.started,yellowillusionimage.stopped,blackroadimage.started,blackroadimage.stopped,key_resp.stopped,Routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,pastelimage.started,kr.started,pastelimage.stopped,redillusionimage.started,redillusionimage.stopped,kr.stopped,routine_2.stopped,kr.keys,kr.corr,kr.rt,kr.duration,routine_3.started,whiteimage.started,kr_2.started,whiteimage.stopped,yellowwhiteimage.started,yellowwhiteimage.stopped,kr_2.stopped,routine_3.stopped,kr_2.keys,kr_2.corr,kr_2.rt,kr_2.duration,routine_4.started,colourfulimage.started,kr_3.started,colourfulimage.stopped,wallimage.started,wallimage.stopped,kr_3.stopped,routine_4.stopped,kr_3.keys,kr_3.corr,kr_3.rt,kr_3.duration,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
yellowillusionimage ,n,0,0,0,0,,,,,,,,,,,,,55.00495,,0.0061946,0.0126207,6.0048364,6.0048364,10.0048836,10.0048836,15.0332508,14.9887986,14.9888163,15.0332508,18.0053537,18.0053537,21.005331,21.005331,24.005186,24.005186,27.005216,27.005216,30.004645,29.9890731,29.9890956,30.004645,33.0047266,33.0047266,39.0047774,39.0047774,45.0047939,45.0047939,55.00495,54.9891321,54.9998679,55.00495,55.00495,58.0048476,58.0048476,61.0046708,61.0046708,60.9889571,n,1,5.3783711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954133,1,2023-11-28_19h38.16.335,untitledFINAL,2023.2.3,60.00286814,2023-11-28 19h38.26.108335 +0530
blackroadimage,r,0,1,1,1,,,,,,,,,,,,,61.0046708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9901462,61.0046708,61.0046708,64.0048228,64.0048228,67.0048917,67.0048917,66.9886404,r,1,3.4752743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954133,1,2023-11-28_19h38.16.335,untitledFINAL,2023.2.3,60.00286814,2023-11-28 19h38.26.108335 +0530
pastelimage,n,,,,,0,0,0,0,,,,,,,,,67.0048917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9969282,67.0048917,67.0048917,70.004746,70.004746,73.0044773,73.0044773,72.9886559,r,0,4.3838335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954133,1,2023-11-28_19h38.16.335,untitledFINAL,2023.2.3,60.00286814,2023-11-28 19h38.26.108335 +0530
redillusionimage,r,,,,,0,1,1,1,,,,,,,,,73.0044773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9896894,73.0044773,73.0044773,76.0045572,76.0045572,79.0046506,79.0046506,78.9886547,r,1,3.3100054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954133,1,2023-11-28_19h38.16.335,untitledFINAL,2023.2.3,60.00286814,2023-11-28 19h38.26.108335 +0530
yellowwhiteimage,n,,,,,,,,,0,0,0,1,,,,,79.0046506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9977351,79.0046506,79.0046506,82.004641,82.004641,85.0043712,85.0043712,84.9882867,n,1,4.3470397,None,,,,,,,,,,,,,,,,,954133,1,2023-11-28_19h38.16.335,untitledFINAL,2023.2.3,60.00286814,2023-11-28 19h38.26.108335 +0530
whiteimage,n,,,,,,,,,0,1,1,0,,,,,85.0043712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9892333,85.0043712,85.0043712,88.0042855,88.0042855,91.0069094,91.0069094,90.9881554,n,1,3.335507,None,,,,,,,,,,,,,,,,,954133,1,2023-11-28_19h38.16.335,untitledFINAL,2023.2.3,60.00286814,2023-11-28 19h38.26.108335 +0530
wallimage,r,,,,,,,,,,,,,0,0,0,0,91.0069094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0014728,91.0069094,91.0069094,94.0045053,94.0045053,97.0042986,97.0042986,96.9883079,n,0,4.4992429,None,,,,,954133,1,2023-11-28_19h38.16.335,untitledFINAL,2023.2.3,60.00286814,2023-11-28 19h38.26.108335 +0530
colourfulimage,n,,,,,,,,,,,,,0,1,1,1,97.0042986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.989355,97.0042986,97.0042986,100.0041959,100.0041959,103.0038573,103.0038573,102.9883937,n,1,3.4341213,None,,,,,954133,1,2023-11-28_19h38.16.335,untitledFINAL,2023.2.3,60.00286814,2023-11-28 19h38.26.108335 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9890439,103.0038573,106.0036217,105.9879764,,,,,,,
