image,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,trial.stopped,all_pictures.started,blackroad.started,blackroad.stopped,yellowillusion.started,yellowillusion.stopped,redillusion.started,redillusion.stopped,wall.started,wall.stopped,image.started,image.stopped,all_pictures.stopped,instructions2.started,instructions.started,instructions.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,instructions2.stopped,Routine_1.started,yellowillusionimage.started,key_resp.started,yellowillusionimage.stopped,blackroadimage.started,blackroadimage.stopped,key_resp.stopped,Routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,pastelimage.started,kr.started,pastelimage.stopped,redillusionimage.started,redillusionimage.stopped,kr.stopped,routine_2.stopped,kr.keys,kr.corr,kr.rt,kr.duration,routine_3.started,whiteimage.started,kr_2.started,whiteimage.stopped,yellowwhiteimage.started,yellowwhiteimage.stopped,kr_2.stopped,routine_3.stopped,kr_2.keys,kr_2.corr,kr_2.rt,kr_2.duration,routine_4.started,colourfulimage.started,kr_3.started,colourfulimage.stopped,wallimage.started,wallimage.stopped,kr_3.stopped,routine_4.stopped,kr_3.keys,kr_3.corr,kr_3.rt,kr_3.duration,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
yellowillusionimage ,n,0,0,0,0,,,,,,,,,,,,,63.01059520000126,,0.003588899999158457,0.008982599989394657,8.010824299999513,8.010824299999513,10.010619799999404,10.010619799999404,15.047018599987496,14.995143399995868,14.995171599992318,15.047018599987496,18.011137800000142,18.011137800000142,21.01089089999732,21.01089089999732,24.011149899990414,24.011149899990414,27.01127689999703,27.01127689999703,30.01042169998982,29.995171199989272,29.99519549999968,30.01042169998982,33.010548099991865,33.010548099991865,43.0106409,43.0106409,53.01054999999178,53.01054999999178,63.01059520000126,62.99463719999767,63.00570239999797,63.01059520000126,63.01059520000126,66.0105421999906,66.0105421999906,69.01054779998958,69.01054779998958,68.9946035999892,r,0,4.271464699995704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208590,001,2023-11-29_13h27.19.361,untitledFINAL,2023.2.3,59.97145358715553,2023-11-29 13h27.26.983849 +0530,
blackroadimage,r,0,1,1,1,,,,,,,,,,,,,69.01054779998958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9956278999889,69.01054779998958,69.01054779998958,72.01046359998873,72.01046359998873,75.01060919999145,75.01060919999145,74.99461129998963,r,1,3.508353299999726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208590,001,2023-11-29_13h27.19.361,untitledFINAL,2023.2.3,59.97145358715553,2023-11-29 13h27.26.983849 +0530,
pastelimage,n,,,,,0,0,0,0,,,,,,,,,75.01060919999145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00309739999648,75.01060919999145,75.01060919999145,78.01070959999925,78.01070959999925,81.01042559999041,81.01042559999041,80.99490459999652,r,0,3.73672090000764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208590,001,2023-11-29_13h27.19.361,untitledFINAL,2023.2.3,59.97145358715553,2023-11-29 13h27.26.983849 +0530,
redillusionimage,r,,,,,0,1,1,1,,,,,,,,,81.01042559999041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.99654899998859,81.01042559999041,81.01042559999041,84.01032169999962,84.01032169999962,87.01039209999726,87.01039209999726,86.99447919998784,r,1,4.0112304000067525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208590,001,2023-11-29_13h27.19.361,untitledFINAL,2023.2.3,59.97145358715553,2023-11-29 13h27.26.983849 +0530,
yellowwhiteimage,n,,,,,,,,,0,0,0,1,,,,,87.01039209999726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.00300959999731,87.01039209999726,87.01039209999726,90.01038479999988,90.01038479999988,93.01033449999522,93.01033449999522,92.9943643000006,n,1,3.655599899997469,None,,,,,,,,,,,,,,,,,208590,001,2023-11-29_13h27.19.361,untitledFINAL,2023.2.3,59.97145358715553,2023-11-29 13h27.26.983849 +0530,
whiteimage,n,,,,,,,,,0,1,1,0,,,,,93.01033449999522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99556149999262,93.01033449999522,93.01033449999522,96.01006319999578,96.01006319999578,99.01043189999473,99.01043189999473,98.99419749999652,n,1,3.3050593999942066,None,,,,,,,,,,,,,,,,,208590,001,2023-11-29_13h27.19.361,untitledFINAL,2023.2.3,59.97145358715553,2023-11-29 13h27.26.983849 +0530,
wallimage,n,,,,,,,,,,,,,0,0,0,1,99.01043189999473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00189410000166,99.01043189999473,99.01043189999473,102.0103620000009,102.0103620000009,105.01016969999182,105.01016969999182,104.99403699999675,n,1,4.476522700002533,None,,,,,208590,001,2023-11-29_13h27.19.361,untitledFINAL,2023.2.3,59.97145358715553,2023-11-29 13h27.26.983849 +0530,
colourfulimage,r,,,,,,,,,,,,,0,1,1,0,105.01016969999182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.99507849999645,105.01016969999182,105.01016969999182,108.01019699999597,108.01019699999597,111.00967469999159,111.00967469999159,110.99481689999811,n,0,3.3687460999935865,None,,,,,208590,001,2023-11-29_13h27.19.361,untitledFINAL,2023.2.3,59.97145358715553,2023-11-29 13h27.26.983849 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.99577559999307,111.00967469999159,114.00950529999682,113.99379039999621,,,,,,,,
