image,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,trial.started,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,trial.stopped,all_pictures.started,blackroad.started,blackroad.stopped,yellowillusion.started,yellowillusion.stopped,redillusion.started,redillusion.stopped,wall.started,wall.stopped,image.started,image.stopped,all_pictures.stopped,instructions2.started,instructions.started,instructions.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,instructions2.stopped,Routine_1.started,yellowillusionimage.started,key_resp.started,yellowillusionimage.stopped,blackroadimage.started,blackroadimage.stopped,key_resp.stopped,Routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,pastelimage.started,kr.started,pastelimage.stopped,redillusionimage.started,redillusionimage.stopped,kr.stopped,routine_2.stopped,kr.keys,kr.corr,kr.rt,kr.duration,routine_3.started,whiteimage.started,kr_2.started,whiteimage.stopped,yellowwhiteimage.started,yellowwhiteimage.stopped,kr_2.stopped,routine_3.stopped,kr_2.keys,kr_2.corr,kr_2.rt,kr_2.duration,routine_4.started,colourfulimage.started,kr_3.started,colourfulimage.stopped,wallimage.started,wallimage.stopped,kr_3.stopped,routine_4.stopped,kr_3.keys,kr_3.corr,kr_3.rt,kr_3.duration,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
yellowillusionimage ,n,0,0,0,0,,,,,,,,,,,,,55.01755049999974,,0.005694499999663094,0.011366700000053243,5.999564199999895,5.999564199999895,10.015953699999955,10.015953699999955,15.033457999999882,14.983697299999676,14.98372419999987,15.033457999999882,17.99977089999993,17.99977089999993,20.99991729999965,20.99991729999965,23.999884500000007,23.999884500000007,26.999844199999643,26.999844199999643,29.99926920000007,29.98382079999965,29.983843199999683,29.99926920000007,33.01596500000005,33.01596500000005,39.01601329999994,39.01601329999994,45.016002899999876,45.016002899999876,55.01755049999974,55.00010239999983,55.01204469999993,55.01755049999974,55.01755049999974,58.0163150999997,58.0163150999997,61.015981499999725,61.015981499999725,60.999981899999966,r,0,4.494203599999764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816070,001,2023-11-28_19h41.41.201,untitledFINAL,2023.2.3,59.948767783166865,2023-11-28 19h42.01.727262 +0530,
blackroadimage,r,0,1,1,1,,,,,,,,,,,,,61.015981499999725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.00089499999967,61.015981499999725,61.015981499999725,64.0159991999999,64.0159991999999,67.0161020999999,67.0161020999999,66.99992249999968,r,1,3.5779928000001746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816070,001,2023-11-28_19h41.41.201,untitledFINAL,2023.2.3,59.948767783166865,2023-11-28 19h42.01.727262 +0530,
redillusionimage,r,,,,,0,0,0,1,,,,,,,,,67.0161020999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0072667999998,67.0161020999999,67.0161020999999,70.0160965,70.0160965,73.01592819999996,73.01592819999996,72.99988299999995,n,0,4.327626100000089,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816070,001,2023-11-28_19h41.41.201,untitledFINAL,2023.2.3,59.948767783166865,2023-11-28 19h42.01.727262 +0530,
pastelimage,n,,,,,0,1,1,0,,,,,,,,,73.01592819999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.00080279999975,73.01592819999996,73.01592819999996,76.0159865999999,76.0159865999999,79.01591039999994,79.01591039999994,78.99986179999996,n,1,3.47711819999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816070,001,2023-11-28_19h41.41.201,untitledFINAL,2023.2.3,59.948767783166865,2023-11-28 19h42.01.727262 +0530,
whiteimage,n,,,,,,,,,0,0,0,0,,,,,79.01591039999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.00821369999994,79.01591039999994,79.01591039999994,82.0157366999997,82.0157366999997,85.01588479999964,85.01588479999964,84.99984240000003,n,1,4.775473000000147,None,,,,,,,,,,,,,,,,,816070,001,2023-11-28_19h41.41.201,untitledFINAL,2023.2.3,59.948767783166865,2023-11-28 19h42.01.727262 +0530,
yellowwhiteimage,n,,,,,,,,,0,1,1,1,,,,,85.01588479999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.00090229999978,85.01588479999964,85.01588479999964,88.01570399999991,88.01570399999991,91.01638739999999,91.01638739999999,90.99986799999988,n,1,3.984762000000046,None,,,,,,,,,,,,,,,,,816070,001,2023-11-28_19h41.41.201,untitledFINAL,2023.2.3,59.948767783166865,2023-11-28 19h42.01.727262 +0530,
wallimage,n,,,,,,,,,,,,,0,0,0,1,91.01638739999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.01060599999983,91.01638739999999,91.01638739999999,94.01579519999996,94.01579519999996,97.01565549999987,97.01565549999987,96.99969069999997,n,1,4.988794599999892,None,,,,,816070,001,2023-11-28_19h41.41.201,untitledFINAL,2023.2.3,59.948767783166865,2023-11-28 19h42.01.727262 +0530,
colourfulimage,r,,,,,,,,,,,,,0,1,1,0,97.01565549999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.00092270000005,97.01565549999987,97.01565549999987,100.01567639999985,100.01567639999985,103.01506070000005,103.01506070000005,102.99985819999984,n,0,3.656238200000189,None,,,,,816070,001,2023-11-28_19h41.41.201,untitledFINAL,2023.2.3,59.948767783166865,2023-11-28 19h42.01.727262 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.00064159999965,103.01506070000005,106.01499239999976,105.9993443999997,,,,,,,,
